单词,美音,definition,简明释义,精选短语
profit,/ ˈprɑːfɪt /,to earn money from something,n. 利润，盈利；<正式> 利益，好处 v. 获益，得益（于）；赢利，获利 其他 【名】 （Profit）（法）普罗菲（人名）,profit from: 得益于；利用 | net profit: 净利润 | economic profit: 经济利润，经济盈利
guess,/ ɡes /,to give an answer without knowing if it is correct,v. 猜测，估计；猜中，猜到 n. 猜测，推测 其他 【名】 （Guess）（英）格斯，（德）居斯（人名）,guess what: 猜怎么了；猜猜看；猜怎么着 | guess who: 猜猜是谁 | guess at: 猜测；估计
fun,/ fʌn /,amusing and enjoyable,n. 乐趣，享受；嬉戏，玩笑 adj. 有趣的，令人愉快的 v. <美，非正式> 开玩笑，取笑,have fun: 玩得开心 | for fun: 开玩笑地；闹着玩地 | make fun of someone: [口语]取笑(或嘲弄、奚落)某人，拿某人开玩笑
protect,/ prəˈtekt /,to defend someone or something from harm or danger,v. 保护，防护；（制订法律）保护,protect the environment: 环境保护 | protect against: 使免受 | protect from: 使免受，保护
resource,/ ˈriːsɔːrs /,essential supply of something,n. 自然资源；资源（指钱、物、人等） v. 向……提供资金（或设备）,human resource: 人的资源 | resource management: 资源管理 | water resource: 水资源
science,/ ˈsaɪəns /,knowledge of the physical world based on facts,n. 科学，科学知识；专门科学 其他 【名】 （Science）（英）赛恩斯（人名）,science and technology: 科学与技术 | computer science: 计算机科学 | modern science: 现代科学；近代科学
disease,/ dɪˈziːz /,"illness that affects a person, animal, or plant",n. 疾病，病害；弊病，恶习 v. 传染，使……有病,heart disease: 心脏病 | coronary heart disease: 冠心病 | cardiovascular disease: 心血管疾病；冠心病
balance,/ ˈbæləns /,to make two or more things equal,n. 平衡，均衡，均势；平衡能力 v. 保持平衡；权衡，斟酌 其他 【名】  (Balance) （西）巴兰赛（人名）,balance of: 平衡 | in balance: adv. 总而言之，总的来说 | in the balance: 悬而未决；在危急状态中
damage,/ ˈdæmɪdʒ /,physical harm that is done to something,n. （有形的）损坏，损失；损害，伤害 v. 损坏，损害；对……造成坏影响,serious damage: 严重损害；严重损坏 | brain damage: 脑损伤 | formation damage: 地层损害，油层损害；生产层损坏
basis,/ ˈbeɪsɪs /,"starting situation, fact, idea to develop from",n. 基础，要素；基准，方式,on the basis of: 根据；基于… | basis for: 以…作基础；为…打基础 | theoretical basis: 理论基础
author,/ ˈɔːθər /,"person who writes books, plays, poems, etc.",n. 作者，著者；作家 v. 撰写，写作；发起，创造,original author: 原著者 | main author: 主要作者 | corresponding author: n. 通讯作者；联系人
basic,/ ˈbeɪsɪk /,at the most important or easiest (beginner) level,adj. 最重要的，基本的；最简单的，初级的 n. 基本要素，基本原则,basic principle: 基本原理 | basic theory: 基本理论 | basic level: 基本水平
encourage,/ ɪnˈkɜːrɪdʒ /,to make someone more determined or confident,v. 鼓励，激励；鼓动，怂恿,encourage investment: 鼓励投资
hair,/ her /,long thin strands on your head or body,n. 毛发，（尤指）头发；些微 comb. 有……毛发（或头发）的 (-haired),long hair: 长发 | black hair: 黑发 | human hair: 人发；人的头发
male,/ meɪl /,characteristic of boys or men,adj. 男性的；（动物）公的，雄性的 n. 男子，男孩；雄性动物 其他 【名】 （Male）（英）梅尔，（柬）马尔，（意、西、塞）马莱（人名）,male and female: 雌雄；[化]凹凸面 | male sterility: 雄性不育；男性不育；雄性不育性；男性不育症 | male parent: 父本；父亲
operate,/ ˈɑːpəreɪt /,to be working or being used,v. 操纵，操作（机器或设备）；（机器等）运转，运行 ,easy to operate: 易操作的 | operate on: 对…动手术；对…起作用 | operate mode: 操作方式，运算方式；工作状态
reflect,/ rɪˈflekt /,"to bounce back off a surface (e.g., light)",v. 反射（光、热或声音）；反映，照出（影像）,reflect on: 仔细考虑，思考；反省；回想，回顾；怀疑 | reflect upon: vt. 考虑（回想；回顾）
exercise,/ ˈeksərsaɪz /,to work out to become stronger and healthier,n. 运动，锻炼；（一套）动作，体操 v. 运动，锻炼；运用，行使,take exercise: 做运动；做体操 | physical exercise: 体育运动；身体操练 | regular exercise: 常规性的锻炼；经常操练，按时训练
useful,/ ˈjuːsf(ə)l /,that can help with a particular task,adj. 有用的，有益的；<英，非正式>好的，熟练的,be useful for: 对…有用；具有…用途 | useful life: 使用寿命；有效期 | useful data: 有用数据和资料
restaurant,/ ˈrestrɑːnt /,"place where you can order, buy and eat a meal",n. 餐馆，饭店,chinese restaurant: 中餐厅；中餐馆 | fast food restaurant: 速食店 | thai restaurant: 泰式餐厅；泰国菜馆
income,/ ˈɪnkʌm /,"earned money from work, investments, or business",n. 收入，收益,income tax: 所得税 | income gap: 收入差距 | income distribution: [经]收入分配
property,/ ˈprɑːpərti /,"things, buildings, or pieces of land owned by someone",n. 所有物，财产；地产，房地产,intellectual property: 知识产权；著作权 | property right: 产权 | property management: 物业管理；资产管理；物业管理专员
previous,/ ˈpriːviəs /,existing or happening before the present time,adj. 以前的，先前的；（时间或顺序上）稍前的 n. <英，非正式>前科，犯罪记录,previous year: 前一年 | previous generation: 前代；当代 | previous period: 前期
dark,/ dɑːrk /,having little or no light; not light in color,adj. 黑暗的，昏暗的；深色的，暗色的 n. 黑暗，暗处；暗色，阴影 其他 【名】 （Dark）（英）达克（人名）,in the dark: 在黑暗中；不知道；秘密地 | dark green: 深绿色；青绿色；黛绿 | before dark: 黄昏以前
imagine,/ ɪˈmædʒɪn /,to think creatively about; form a mental picture of,v. 想象，设想；料想，认为,
okay,/ oʊˈkeɪ /,yes; alright,int. 好，行 adj. 可以；对 adv. 可以；对 n. 同意，批准 v. 同意，批准,
earn,/ ɜːrn /,to get money for work,v. 赚得，挣钱；盈（利），生（利） 其他 【名】 （Earn）（泰）炎（人名）,earn money: 赚钱 | earn a living: 谋生；活命 | earn interest: 赚取利息
daughter,/ ˈdɔːtər /,a female child of someone,n. 女儿；[遗][农学] 子代 adj. 女儿的；子代的,only daughter: 独生女 | eldest daughter: 长女 | father and daughter: 父与女（动画短片，曾获奥斯卡最佳动画短片奖）
post,/ poʊst /,to send a letter or package using the post office,n. <英>邮政，邮递；<英>邮件，包裹 v. <英>邮寄；把……放入（或塞入） prep. 在……之后 其他 【名】 （Post）（英、西、捷、瑞典、荷）波斯特（人名）,post office: n. 邮局 | by post: 以写信的方式 | washington post: 华盛顿邮报
newspaper,/ ˈnuːzpeɪpər /,sheets of paper (or online) containing news stories,n. 报纸，报；报社,in the newspaper: 在报纸上 | newspaper reporter: 记者 | newspaper office: n. 报社
define,/ dɪˈfaɪn /,to explain the meaning of words,v. 给……下定义，解释；阐明，使清楚 其他 【名】 （Define）（英）德法恩，（葡）德菲内（人名）,define as: vt. 解释为
conclusion,/ kənˈkluːʒ(ə)n /,judgment or opinion after thinking for a while,n. 结论，推论；结局，结尾,in conclusion: 总之；最后 | draw a conclusion: 得出结论；作结论 | come to a conclusion: 得出结论；告终
clock,/ klɑːk /,a device that shows the time,n. 时钟，时钟的；考勤钟（the clock） v. 达到，记录下（一定时间，距离，速度）；记录（时间，速度） 其他 【名】 （Clock）（英）克洛克（人名）,alarm clock: 闹钟 | around the clock: 日以继夜地，连续一整天 | clock in: 打卡上班；记录上班时间
everybody,/ ˈevribɑːdi; ˈevribʌdi /,every person; everyone,pron. 每个人，人人,
weekend,/ ˈwiːkend /,Saturday and Sunday,n. 周末；周末旅行，周末度假 adj. 周末的 v. 度周末,last weekend: 上周末 | at the weekend: 在周末 | over the weekend: 在周末；整个周末；经过周末
perform,/ pərˈfɔːrm /,to carry out an action well or successfully,v. 演出，表演；执行，履行（尤指复杂的任务或行动）,perform an operation: 动手术；做手术 | perform on: 表演；上演；演奏 | opportunity to perform: 实践的机会；表现机会
professional,/ prəˈfeʃən(ə)l /,"about a job such as a doctor, lawyer, accountant, etc.",adj. 职业的，专业的；非常内行的，极为称职的 n. 专业人员，专业人士；内行，专家,professional development: 专业发展 | professional knowledge: 专业知识；专门知识 | professional design: 专业设计；设计合理
mine,/ maɪn /,that thing that belongs to me,pron. 我的；<英，非正式>我的家 n. 矿，矿井；地雷，水雷 v. 采（煤等矿物）；布雷，用雷炸毁（车辆） 其他 【名】 （Mine）（德、塞、土、毛里塔）米内（人名）,coal mine: 煤矿，煤矿坑 | gold mine: 金矿，金山 | friend of mine: 我的朋友
debate,/ dɪˈbeɪt /,general public discussion of a topic,n. 讨论，辩论 v. 反复思考，斟酌；讨论，辩论,debate on: 关于…进行辩论 | public debate: 公开辩论 | under debate: 在争论中
memory,/ ˈmeməri /,something that has been remembered,n. 记忆力，记性；记忆，回忆 其他 【名】 （Memory）（英）梅默里（人名）,in memory of: 纪念… | shape memory: 形状记忆；外形记忆 | from memory: 根据记忆
green,/ ɡriːn /,color of young leaves,adj. 绿色的；青春的 n. 绿色；青春 vt. 使……变绿色 vi. 变绿色 n. （Green）人名；（英、意）格林,in the green: 在年富力强时 | on the green: 在果岭上；在草地上 | green tea: 绿茶
song,/ sɔːŋ /,some music with words in verse,n. 歌，歌曲；歌唱，声乐 其他 【名】 （Song）（英）桑，（汉语）宋（人名）,song dynasty: 宋朝 | folk song: 民歌 | sing a song: 唱一首歌，唱支歌
object,/ ˈɑːbdʒekt /,to disagree; to protest against an idea or plan,n. 物体，实物；目的，目标 v. 反对；反对说，反对的理由是,object oriented: 面向对象的；对象趋向的；物件导向的 | object of study: 研究对象 | object function: 目标函数；原函数
maintain,/ meɪnˈteɪn /,"to keep, exist or continue without changing",v. 保持，维持；维修，保养,maintain in: 维持…；保持… | maintain order: 维持秩序 | maintain world peace: 维护世界和平
credit,/ ˈkredɪt /,system to buy something and pay for it later,n. 信用，信贷，赊购；赞扬，信誉，声望 v. 把（钱）记入总账，把钱存入（账户）；相信，信任,credit card: 信用卡；记帐卡 | letter of credit: n. [商]（银行发行的）信用证 | credit system: 信用制度；信贷制度；赊购或赊销制度
ring,/ rɪŋ /,"to produce a sound from a bell, alarm, or telephone; a piece of jewelry worn on a finger",n. 戒指，指环；环状物，圈形物 v. 包围；<英>绕……画圆，把……圈起来 其他 【名】 （Ring） （美、挪、德、爱、英、波、丹）林（人名）,ring road: 环形公路 | ring in: 包围；用考勤钟打下个人上班的时间；与…通电话 | ring with: 充满…声音；回荡着
